,0,1,2,3
114,The Rust Programming Language (Covers Rust 2018),,By Steve Klabnik and Carol Nichols,$39.95
115,The Secret Life of Programs,Understand Computers -- Craft Better Code,By Jonathan E. Steinhart,$44.95
116,Think Like a Programmer,An Introduction to Creative Problem Solving,By V. Anton Spraul,$34.95
117,Understanding ECMAScript 6,The Definitive Guide for JavaScript Developers,By Nicholas C. Zakas,$34.95
118,"Webbots, Spiders, and Screen Scrapers, 2nd Edition",A Guide to Developing Internet Agents with PHP/CURL,By Michael Schrenk,$39.95
119,Wicked Cool Ruby Scripts,Useful Scripts That Solve Difficult Problems,By Steve Pugh,$29.95
120,"Wicked Cool Shell Scripts, 2nd Edition","101 Scripts for Linux, OS X, and UNIX Systems",By Dave Taylor and Brandon Perry ,$34.95
121,"Write Great Code, Volume 1, 2nd Edition",Understanding the Machine,By Randall Hyde,$49.95
122,"Write Great Code, Volume 2, 2nd Edition","Thinking Low-Level, Writing High-Level",By Randall Hyde,$49.95
123,"Write Great Code, Volume 3",Engineering Software,By Randall Hyde,$49.95
124,Writing a C Compiler,Build a Real Programming Language from Scratch,By Nora Sandler,$59.99
125,Your Linux Toolbox,,By Julia Evans,$29.95
